4 jours,اربعة ايام
5 jours,خمسة أيام
6 jours,ستة أيام
7 jours,أسبوع واحد
une semaine,أسبوع واحد
2 semaines,أسبوعين
3 semaines,ثلاثة اسابيع
4 semaines,أربعة أسابيع
5 semaines,خمسة اسابيع
6 semaines,ستة أسابيع
an,عام
2,إثنان
3,ثلاثة
4,أربع
5,خمس
6,ست
7,سبع
8,ثمان
9,تسع
10,عَشَر
11,أحَدَ عَشَر
12,إثنا عَشَر
13,ثلاثة عَشَر
14,أربَعة عَشَر
15,خَمْسة عَشَر
16,سِتّة عَشَر
17,سَبْعة عَشَر
18,ثَمانية عَشَر
19,تِسْعة عَشَر
a,قبل
aa,من كل
ac,قبل الأكل
ad.,حتى
ad. lib.,في الإرادة أو في الاختيار
AVC,السكتة الدماغية
appl,تطبيق
AD,الأذن اليمنى
AL,الأذن اليسرى
AM,قبل الظهر
amp,أمبولة
après,بعد
avant,قبل
C°,مئوية
Ca,ورم سرطاني
cac,ملعقة صغيرة
cad,ملعقة صغيرة
cal.,السعرات الحرارية
caps,كبسولة
cas,ملعقة كبيرة
cave,انتباه
cm,كريمة
comp,مركب من
conc,مركز
cp,قرص
cpr,قرص
D,يمين
DCD,ميت
DCI,اسم دولي غير مملوك
ddc,كلا الجانبين
diam,قطر
D.l.,جرعة مميتة
DNR,لا تنعش
Dx,مؤلم
d.s.,الاستغناء
drg,لوز مسكر
D tal dos,إعطاء هذه الجرعات
effervescent,فوار
e.m.p.,حسب الوصفة
ext.,خارجي
fois/jour,مرات/يوم
fois par jour,مرات في اليوم
G.,أيسر
g,غرام
gl,كبسولة
gran,حبيبات
gtte,قطرة
h,ساعة
hemi,نصف
hs,في وقت النوم
ia,داخل الشرايين
ibid,في نفس المكان
i.c.,بين الوجبات
id,داخل الأدمة
i.e.,هذا يعني
im,في العضل
INN,الاسم الدولي غير التجاري
inj,عن طريق الحقن
inv,وريدي
Irr,غير منتظم
LCR,السائل الدماغي الشوكي
lb,رطل
mois,أشهر
KVO,ضخ بطيء للغاية لإبقاء الوريد مفتوحًا
M D S,مزيج / الاستغناء / التسمية
M f,خلط / إعداد
min.,دقيقة
Neo,ورم سرطاني
N R,لا تجدد
NTBR,لا تنعش
o.d.,العين اليمنى
o.l.,العين اليسرى
ot.,بصري
OH,عقيدة
OTC,بدون وصفة طبية
o.u.,كلتا العينين
oz,28.3495g
pans.,ضمادة
pendant,لمدة
Pt.,المريض
Ph. Eur,دستور الأدوية الأوروبي
Ph Franc,دستور الأدوية الفرنسي
p,بعد
pc,بعد الوجبة
pd,يوميا
Pds,الوزن
per os,عن طريق الفم
p.m.,بعد الظهر
pm,مرهم
pommade,مرهم
po,شفويا
prendre,أخَذَ
prn,حسب الحاجة
q,كل
qd,كل يوم
qh,كل ساعة
q4h,كل أربع ساعات
qhs,كل ليلة في وقت النوم
qid,أربع مرات في اليوم
qod,كل يومين
qs,بقدر ما يتطلبه الأمر
Rp,خذ
R.X,الأشعة السينية
sc,تحت الجلد
S.,التسمية
s,بدون
sec.,تانية
sl,تحت اللسان
stat,فورا
sine conf,بدون التغليف الأصلي
sine litt,بدون تعليمات التعبئة والتغليف
soir,مساءا
s.q.,بكميات كافية
sp,شراب
suppo,تحميلة
tab,قرص
tbsp,ملعقة كبيرة
tid,ثلاث مرات في اليوم
T°,درجة الحرارة
TA,الضغط الشرياني
tbc,السل
TP,مستوى البروثرومبين
ttt,جارٍ المعالجة
TO,تلقى النظام عن طريق الهاتف
tsp,ملعقة صغيرة
ugt,مرهم
VO,أمر شفوي
Vit,فيتامين
V.R.,الجهاز التنفسي
vag.,مهبلي
bain de bouche,غسول الفم
à sucer,لامتصاص
flacon,زجاجة
boite,علبة
pulvériser,حطم
sur,على
aphtes,القروح
sachet,كيس
repas,الوجبات
tube,أنبوب
jours,أيام
après le repas,بعد الوجبة
entre les repas,بين الوجبات
Au coucher,عند النوم
Jusqu’à,حتى
le matin,في الصباح
avant midi ,قبل الظهر
matin,الصباح
dose,جرعة
dispersible,متحلل
sans,بدون
durant,مدة
x/jour,مرات / يوم
x/j,مرات / يوم
f/j,مرات / يوم
jour/,/ يوم
x-x-x-..-x,مرات / يوم
heures,ساعات
le soir,في المساء
1 suppo,تحميلة واحدة
chaque,كل
et,و
1 suppo,تحميلة واحدة
1 application,تطبيق واحد
au massage leger,على التدليك الخفيف
1 application,تطبيق واحد
1 cp,قرص واحد
1-1-1,قرص واحد 3 مرات / يوم
avant repas,قبل الوجبة
apres repas,بعد الوجبات
au milieu du repas,في منتصف الوجبة
1 gelule,كبسولة واحدة
1 gel,كبسولة واحدة
1 cuillere a soupe,ملعقة طعام
1 cas,ملعقة طعام
1 cuillere a cafe,ملعقة شاي
1 cac,ملعقة شاي
20 graduations,عشرين تدريجة
20-20-20,عشرين تدريجة 3 مرات / يوم
Injection,حقنة
1 injection Intra musculaire,حقنة عضلية واحدة
IM,عضلية
Intra musculaire,عضلية
1 injection IM,حقنة عضلية واحدة
1-1-1 pd 10 jours,حقنة عضلية واحدة 3 مرات في اليوم لمدة عشرة أيام
1 injection IM unique,حقنة واحدة داخل العضلات
1 injection IM profonde unique,حقنة واحدة عميقة داخل العضلات
sous-cutanee,تحت الجلد
s/c,تحت الجلد
Intra veineuse lente, بطيئة في الوريد
intra-dermo-reaction,تفاعل داخل الجلد
IDR,تفاعل داخل الجلد
perfusion,ضخ
en,خلال
du,ل
Serum sale,المصل المالح
Serum glucose,مصل الجلوكوز
1 perfusion,حقن
ASP,البطن بدون تحضير
TAP,الصدر-البطن-الحوض
TDM,قياس كثافة البطن
IRM,التصوير بالرنين المغناطيسي
Priere de faire :,يرجى القيام ب :
Priere de prendre :,يرجى أخذ :
face et profil,أمامية و جانبية
Radio pulmonaire,أشعة سينية رئوية
Radio de l'epaule droit,أشعةالكتف الايمن
Radio du genou droit,أشعة للركبة اليمنى
Radio du poignet droit,أشعة المعصم الايمن
Radio,أشعة
Echographie ,الموجات فوق الصوتية
abdominale,في البطن
pelvienne,في الحوض
IRM,التصوير بالرنين المغناطيسي
IRM cerebrale,تصوير بالرنين المغناطيسي للدماغ
IRM abdominale,تصوير بالرنين المغناطيسي للبطن
IRM pelvienne,تصوير بالرنين المغناطيسي للحوض
seances de reeducation du,جلسات لإعادة تأهيل
genou, الركبة
Lombalgie,آلام أسفل الظهر
dans,في
par,في
1 fois,مرة واحدة
2 fois,مرتين
3 fois,ثلاثة مرات
4 fois,أربع مرات
5 fois,خمس مرات
6 fois,ست مرات
7 fois,سبع مرات
8 fois,ثمان مرات
9 foi,تسع مرات
gélules,برشامة
-,-
:,:
boites,علب
mg,مليغرام
PELLICULÉ,مغلف
AMPOULE,زجاجة
INJECTABLE,قابل للحقن
AMPOULES,زجاجات
ML,ملليلتر
DE,من
SÉCABLE,قابل للتبديل
SOLUTION,المحلول
POUR,من أجل
SOLVANT,مذيب
POUDRE,مسحوق
BUVABLE,يشرب
G,غرام
PÂTE,عجينة
POUR USAGE,للاستخدام
DENTAIRE,الأسنان
PILLULIER,بيلولير
LYOPHILISÉE,تجميد المجفف
FLACONS,زجاجات
COLLYRE,قطرات للعين
DRAGÉE,مجروح
SERINGUES,المحاقن
CAPSULE,كبسولة
MOLLE,ناعم
PULVIRÉSATION,رش
NASALE,أنفي
CARTOUCHE,خرطوشة
UI,الوحدة الدولية
U,وحدة
RÉCIPIENTS,العبوات
UNIDOSES,جرعة واحدة
INHALATION,استنشاق
ADULTE,شخص بالغ
PENFILL,في قلم
ENROBÉ,مغطى
OPHTALMIQUE,عيني
LAVAGE,غسل
DOSES,الجرعات
DOSE,جرعة
%,نسبه مئويه
CRÈME,كريم
TUBES,أنابيب
PÉDIATRIQUE,اخصائي اطفال
POMMADE,مرهم
À,في
APPLICATION CUTANÉE,تطبيق الجلد
CUTANÉ,جلدي
EMULSION,مستحلب
PRÉREMPLIE,مملوء
SERINGUE,حقنة
USAGE,استعمال
PARENTÉRAL,الوالدية
LYOPHILISAT,الليوفيلات
SOLUTÉ,المحلول
GÉLULE,كبسولة
PRÉPARATION,تجهيز
injection,حقنة طبية
PERFUSION,نضح
DERMIQUE,جلدي
STÉRILE,عقيم
COMPRIMÉS,أقراص الدواء
CONTENANT,تحتوي
EN VERRE,زجاج
DU,من
GEL,جل
GRAMMES,جرامات
ORODISPERSIBLE,قابل للاختراق
SACHETS,أكياس
TRANSDERMIQUE,عبر الجلد
DISPOSITIF,جهاز
BUCCAL,عن طريق الفم
D'UN,من
EN,في
AGUETTANT,محقق
PRÉREMPLIES,شغلها مسبقا
GRANULÉ,حبيبة
OXALIPLATINE,أوكسالي بلاتين
PATCH,رقعة قماشية
INJECTABLES,عن طريق الحقن
FORTE,فورت
RÉCIPIENT,إناء
INHALATION BUCCALE,استنشاق فموي
BUCCALE,فموي
PARENTERAL,زرقي
PRÉ/REMPLIE,معبأ مسبقًا
S/C/I/M,تحجلدي ضمعضلي
SULFATE,الحامض الكبريتي
DOSÉES,جرعات
VACCIN,لقاح
PELLICULÉS,قشري
GOUTTE,قطرة
intra-articulaire,داخل المفصل
CARTOUCHES,شحنة
ENROBÉS,ملففة
GÉLULE,برشامة هلامية
UI/ML,وحدة في ملليلتر
HM,HM
QUADRISÉCABLE,قابل للقطع على أربعة أجزاء
DRAGÉIFIÉ,ملبس
STYLOS,أقلام
PRÉ/REMPLIS,معبأة مسبقًا
MG/,ملغ في
SPRAY,رشاش
NASAL,أنفي
SYSTÈME,نظام
HORMONAL,هرموني
INTRA UTÉRIN,داخل الرحم
MG/ML,مليغرام في ملليلتر
ORALE,عن طريق الفم
GASTRO,إختصاصي في الأمعاء
PELLICULE,قشرة رقيقة
ANNEAU,حلقة
I.V,ضموريدي
VAGINAUX,مهبلي
COMPRIMES,أقراص
SUSPENSION,توقيف
NÉBULISEUR,رشاشة
IMPLANT,زرع
POURORALEDE,سيئ
À LIBERATION,عند التحرير
PROLONGÉE,فترة طويلة
MODIFIÉE,تم التعديل
MONODOSE,جرعة واحدة
GOUTTES,قطرات
À DILUER,لتمييع
ENROBÉS,مغلفة
LIBÉRATION,تحرير
CARTON,علبة
ORALE,عن طريق الفم
GASTRORÉSISTANT,مقاومة المعدة
SIROPDE,شراب مركز
EXPECTORANT,طارد للبلغم
À CROQUER,يلتهم
ΜG/DOSE,مليغرام لكل جرعة
SUPPOSITOIRE,تحميلة
SODIQUE,سوديك
COLLYREDE,كوليرد
/,\
